filename,chroma_stft,spectral_centroid,spec_bw,roll_off,zero_crossing_rate,p0,p1,p2,flat,contrast,rms
Amrdiab_zaymanti_music_17.wav,0.34785938262939453,1372.3954035106897,1861.7290391066135,2984.7861180733603,0.05134077042618034,0.002454195073381496,0.003949241004947149,0.004796441178142544,0.007020628545433283,20.43620677186034,0.0002870626014570922
Amrdiab_zaymanti_vocals_17.wav,0.21709977090358734,3467.585441673401,2421.665709163805,6098.575622747557,0.20513160162296826,0.002012243510226466,0.002607834242854065,0.0029263140646161004,0.2265356034040451,21.858879022408956,0.00027856297664531805
Asalah_MoakfMo2lma_04.wav,0.36513689160346985,2311.420007633015,2235.304291054616,4613.726268095129,0.11566048731375773,0.004759700948646247,0.006443046528826703,0.0065195439467682775,0.01963968575000763,23.75866165409919,0.00045054415261944864
Asalah_MoakfMo2lma_music_04.wav,0.4242771565914154,2197.900898612415,2236.218272917026,4563.551571494655,0.11212309373790634,0.003182821052253563,0.004360303515923844,0.0046210835535225175,0.021815022453665733,23.53031281101603,0.00034004534326491327
Asalah_MoakfMo2lma_vocals_04.wav,0.18833664059638977,2539.875347777198,1740.1929457433657,4063.2420967976004,0.17365692422116874,0.0014937827263209874,0.001970859507889936,0.001789779448678434,0.2719208896160126,24.437974551166867,0.00017154936832205637
Asala_Ya_Magnon_16.wav,0.35131481289863586,1935.247066509615,2345.155256008707,4152.9040546240085,0.07271365706027477,0.0012043512321955332,0.0017502485703788362,0.0019457895982992637,0.020925646647810936,18.41588876661893,0.00012120262818671622
Asala_Ya_Magnon_music_16.wav,0.3582908511161804,1812.6648768079986,2282.4321054089023,4000.0966452961734,0.06518573583833204,0.0008690213006959115,0.0013531385695787245,0.0015888160461711872,0.02062869817018509,18.77527551482792,9.705922000018377e-05
Asala_Ya_Magnon_Vocals_16.wav,0.2997341454029083,3556.3226558740967,2152.4348058116807,5841.668842894374,0.26760628053647445,0.0002828474361145313,0.00032146777357222947,0.0002728905340222337,0.6678429245948792,16.22016140953786,3.05393536349314e-05
Bazzi_Renee_s_Song_27.wav,0.2318383753299713,2097.858154467997,2346.4276489619556,4545.555846979006,0.07880961415199303,0.0028464146825353024,0.003933977535025656,0.00433559877512602,0.011335916817188263,21.247539219400352,0.00031357527809252467
Bazzi_Renee_s_Song_music_27.wav,0.24419766664505005,721.5198630549112,1096.5503866132492,1235.459196013932,0.030785150203173375,0.0006662380700478928,0.0012068044855836212,0.0015991653694388591,0.0016663218848407269,24.782978234380415,0.00013078797560491125
Bazzi_Renee_s_Song_vocals_27.wav,0.23472347855567932,2706.86193342867,2403.1075635807524,5538.47900957515,0.13036485796004257,0.0021345874743898476,0.002680724354236504,0.002700585660002759,0.08339999616146088,22.163643721442266,0.00023518113519013006
Because_You_Loved_Me_08.wav,0.3639380931854248,1507.5422107416712,1856.190328859006,3352.7297265020316,0.06355706087945047,0.0017309123604825115,0.002750102554669219,0.00322441814706177,0.01895594596862793,24.22679738182252,0.00021090127417801725
Because_You_Loved_Me_M_08.wav,0.4386461079120636,564.2455233081827,1058.7174701896947,965.5566614109665,0.02254861648606811,0.00090179405458822,0.0016646441173547965,0.002273625367287417,0.017613612115383148,24.056008425671834,0.00016733504662129516
Because_You_Loved_Me_V_08.wav,0.25749608874320984,2864.6355183904475,1971.1338845051291,5036.594544401848,0.1755441010182856,0.0007955354480783934,0.001034869918971403,0.0008938851337850084,0.02845657616853714,28.089920143763266,9.141042355096816e-05
Berlin_BellaCiao_22.wav,0.30923476815223694,1533.9093442382118,1825.1870096253615,3087.877161362592,0.05632259971217105,0.0010842941455550333,0.0016179027237033779,0.0018267913394317832,0.11500916630029678,18.49012294711288,0.00012029824621770882
Berlin_BellaCiao_music_22.wav,0.28364360332489014,1040.4105784517315,1441.271389084937,2084.1665639965895,0.03510711953366873,0.0002818391723411354,0.0004831222378558853,0.0006062010135341096,0.10563084483146667,20.48971921865785,4.0744434641310934e-05
Berlin_BellaCiao_vocals_22.wav,0.32058125734329224,2521.698266199552,2121.599651940188,4720.10895814689,0.15122659878095976,0.0007929091145515724,0.0011285156471222504,0.0012220993343487437,0.3413625657558441,18.743724016493587,8.973327930749973e-05
Birdy_strange_birds_10.wav,0.24739868938922882,1769.9577528055156,2065.092897955757,3633.3196964795375,0.07552240802776702,0.0022992255927967945,0.0033299484389604866,0.003980804701555979,0.012328742071986198,21.229727810437133,0.00027098630829843146
Birdy_strange_birds_10_music.wav,0.3124117851257324,739.0850740104723,784.7984804505169,1322.4836697888447,0.04562519652186533,0.0010723521359186179,0.0019143131485452561,0.002414983017445744,0.0032847425900399685,22.244399832290643,0.0001274224443078336
Birdy_strange_birds_10_vocals.wav,0.29788634181022644,3623.8332849766616,2759.961416380997,6905.145745528372,0.21254406624903252,0.0012130474938621119,0.001414629229471636,0.0015696124147142605,0.2697238028049469,22.431639150013382,0.00018483877045157566
Burnout_Syndromes_PHOENIX_01_music.wav,0.4419935941696167,2922.1808313178426,2703.2000920654154,6032.246857161861,0.13729452127273606,0.008102216584312264,0.009795658972760982,0.009508670385642914,0.07062353938817978,18.508078555833716,0.0005759896731308257
Burnout_Syndromes_PHOENIX_01_vocals.wav,0.237623929977417,3207.811749937497,2102.806973360782,5369.738363260086,0.20458001765673375,0.0030913062789128445,0.0038731722251127486,0.003542980371428705,0.025008581578731537,25.740766970107106,0.00037275338187927877
Cairokee_Layla_18.wav,0.41340428590774536,2057.5984122481696,2412.77704991628,4523.539313443305,0.07590184639851007,0.003511361192400582,0.005034967500878332,0.005782841651257908,0.018653659150004387,19.355484439519433,0.0003863892756616889
Cairokee_Layla_music_18.wav,0.4331381916999817,1872.6743912582044,2266.3940229632067,4224.986952081922,0.06530289310419891,0.002604421580220066,0.0037868152578263915,0.004465739594771769,0.01762927509844303,19.773938588093756,0.0003242527216248082
Cairokee_Layla_vocals_18.wav,0.2414962202310562,2947.4377338272147,2119.838042806648,4954.174209453004,0.20575177927873453,0.0007746809564547446,0.001060723561471319,0.0011020962924018268,0.23185236752033234,21.809119526484892,8.956362091900814e-05
Copy_of_Sia_Helium_vocals_23.wav,0.24083493649959564,3062.2462595171137,2527.9868801925654,5804.898231907895,0.16651278752660603,0.0014053750536612134,0.001714725857872015,0.0016678058842128178,0.14795291423797607,24.097804307019217,0.0001682482245213882
Copy_of_WaelGassar_Mogo3_04.wav,0.2747766077518463,1507.0563918943785,1856.1428382019778,3031.2066707079625,0.06508690801567338,0.0023709470334589786,0.0036862727356934636,0.0042296048004002535,0.017610251903533936,20.969761574307636,0.0002465966860523989
Declan_Galbraith_Tell_me_why_24.wav,0.2783608138561249,2168.657515295311,2131.247093467327,4219.120320889972,0.11133266011996903,0.0026914254545660483,0.003848785707086811,0.003986028438872451,0.02053750492632389,23.336268555948173,0.0002696297202923703
